,channel_name,publish_date,length,recipe_0,recipe_1,recipe_2,recipe_3,recipe_4,recipe_5,recipe_6,recipe_7,recipe_8,recipe_9,recipe_10,recipe_11,genome_0,genome_1,genome_2,genome_3,genome_4,genome_5,genome_6,genome_7,genome_8,genome_9,genome_10,genome_11,genome_12,genome_13,genome_14,genome_15,genome_16,genome_17,genome_18,genome_19,genome_20,genome_21,genome_22,genome_23,genome_24,genome_25,genome_26,genome_27,genome_28,genome_29,Views
203,French,07.11.11,12,0.105180324,0.606138413,0.197188668,0.018156019,0.498859773,0.768696052,0.028916402,0.194945858,0.036307111,0.086486741,0.023612854,0.03915241,0.012222529,0.005746882,0.015138149,0.00116657,0.000964612,0.000139192,0.000432547,2.51e-05,0.000313388,0.000100498,4.57e-05,0.000312266,0.000250353,0.005256847,0.000126818,8.63e-05,3.87e-05,9.59e-05,4.66e-05,2.15e-05,0.002063739,0.000108995,3.22e-05,2.43e-05,4.51e-05,0.001922345,0.005754726,0.000510617,0.044875085,0.000410266,985
204,French,07.11.11,23,0.058423644,0.15349008,0.258530143,0.05416146,0.75313734,0.365616389,0.015351467,0.351267253,0.283112706,0.1430181,0.01384242,0.036631536,0.004431352,0.001230116,0.004266745,0.000252824,0.002038047,6.09e-05,0.000595551,2.59e-05,0.000179056,2.7e-05,3.44e-06,5.85e-05,3.37e-05,0.004187614,9.98e-05,2.94e-05,4.89e-06,2.23e-05,6.93e-05,1.03e-06,0.00015459,2.43e-05,6.66e-06,3.56e-06,4.04e-06,0.000135431,0.00806725,0.00024812,0.171269909,0.000861639,538
205,French,20.10.11,651,0.144020169,0.03814522,0.351856496,0.484457697,0.697091686,0.380884503,0.040562729,0.271207008,0.347908499,0.307269201,0.042503798,0.16656538,0.002511518,0.000703306,0.001080948,0.000652317,0.000181193,0.010968982,5.92e-05,0.004795214,6.97e-05,6.12e-05,0.014127597,0.00065165,0.000235909,0.01116392,0.00021479,4.62e-05,0.002273034,0.000268365,0.003600999,0.000438003,7.83e-06,0.013518516,5.48e-05,0.030968012,0.000526551,2.7e-06,7.3e-05,2.69e-05,1.95e-05,2.53e-05,13101
206,French,20.10.11,31,0.136122867,0.066362043,0.503532581,0.090570355,0.513555523,0.602808051,0.196656205,0.246294316,0.150897765,0.481404594,0.109384217,0.114851698,0.028719615,0.007903477,0.240820989,0.000224097,0.000886401,0.000106243,0.006355276,0.001191572,3.03e-05,3.42e-05,9.31e-05,0.000535848,0.000952284,0.015195989,8.94e-05,3.32e-06,0.000125747,7.77e-05,0.000884604,8.2e-06,0.033350978,7.76e-05,0.000720451,8.48e-05,0.000126599,0.018039472,0.018688459,0.001875112,0.002498851,0.00021245,6270
207,French,20.10.11,29,0.111247202,0.029870241,0.328035911,0.327110348,0.5831714,0.226437722,0.271840923,0.247249446,0.526312363,0.16425921,0.0732724,0.336392819,0.019985028,0.007851699,0.048487071,0.001478305,0.003592771,0.007353978,0.002233893,0.00589412,0.000165348,4.02e-05,0.002335822,0.00176507,0.148625717,0.002947809,5.21e-05,5.64e-05,0.008872875,0.015059407,0.000115538,0.00061195,0.000258166,2.6e-05,0.000319246,0.000619085,0.000268223,0.00011466,0.006850926,0.000385149,0.0001985,0.000817097,4611
208,French,20.10.11,47,0.099073278,0.041452494,0.170519377,0.119688697,0.791087256,0.254685736,0.031368197,0.369429775,0.375885255,0.487354845,0.043221415,0.172149732,0.03905667,0.046775896,0.002582779,0.005901543,0.001066104,0.000249005,0.000335592,0.001354906,0.000135872,5.57e-05,0.001578823,0.000798798,5.42e-05,0.001268276,0.054457732,3.38e-05,0.000198897,0.000304622,0.000422741,3.66e-05,0.000102984,0.824129283,0.011692887,0.000101925,0.005145737,4.86e-05,0.00012013,3.44e-05,0.000226574,0.000182519,1002
209,French,20.10.11,31,0.40251111,0.183269631,0.244414553,0.46873991,0.492448194,0.336526056,0.08504056,0.325038383,0.338435531,0.10941363,0.249293275,0.396305973,0.988777876,0.981582522,0.000367716,0.004413301,0.000481601,0.000872265,0.000757608,0.00010833,9.52e-05,0.000445515,0.003221145,0.000675332,0.000195948,0.000184819,1.69e-05,0.000360384,0.000649335,3.96e-05,0.000106806,0.000123248,0.000232494,0.000463225,0.000337759,0.000122148,3.09e-06,6.66e-05,0.000490932,0.001025353,3.64e-05,0.000131633,4510
210,Italian,31.01.22,361,0.213163901,0.026143189,0.435865729,0.116647078,0.258865995,0.600333227,0.032620487,0.19842281,0.201243997,0.084029902,0.049503543,0.104779526,0.078269944,0.027883099,0.00330978,0.030534428,0.000554906,0.00942977,3.33e-05,0.000500044,0.019169293,0.001923761,0.002011397,0.023342941,0.001969816,0.000187275,0.00569292,0.001158625,0.318992913,0.012886118,0.000439159,3.01e-05,8.33e-05,0.001132536,0.000126768,3.93e-05,0.000897125,6.85e-05,2.7e-05,0.048599061,0.000149491,0.000118053,93
211,Italian,31.01.22,228,0.192171627,0.023381822,0.346389652,0.157204709,0.283582229,0.494752256,0.072612413,0.223787864,0.281459959,0.079741083,0.064392258,0.194442546,0.018743906,0.012041498,0.001466105,0.049234942,0.000727119,0.004026128,3.4e-05,0.02224133,0.010225506,0.009761927,0.000860817,0.001266649,0.001226416,0.000342273,0.001447977,0.002461073,0.15025121,0.110484779,0.000371246,4.9e-05,0.000112512,0.000398524,0.00062141,8.03e-05,3.12e-05,5.33e-05,2.53e-05,0.001754928,0.000117547,0.000239252,59
212,Italian,31.01.22,118,0.147281368,0.120653121,0.440182886,0.035498191,0.108048054,0.755837472,0.016288463,0.163636263,0.080526521,0.041722985,0.107367308,0.025421547,0.071836524,0.037081111,0.011063356,0.225310653,0.004700365,0.086144134,0.000124374,0.000820103,0.002136482,0.06678158,0.003920753,0.000873955,0.003016807,0.001724594,0.003771894,0.00013969,0.038962781,0.008439336,0.000713885,1.83e-05,0.000277842,0.01333177,0.000385446,0.000344514,0.000398304,0.000107648,7.24e-05,0.018806616,6.14e-05,0.001086387,71
